inoculation,number,colonized,uncolonized,harvest_date
S,215,0,105,02/01/2024
R,198,27,55,02/01/2024
R,130,0,69,02/01/2024
R,145,0,43,02/01/2024
R,163,16,43,02/01/2024
R,183,69,53,02/01/2024
R,199,8,37,01/07/2024
R,187,2,20,01/07/2024
R,190,0,32,01/07/2024
R,165,7,20,01/07/2024
R,200,0,61,01/07/2024
S,214,0,70,01/07/2024
R,144,0,84,12/13/2023
R,193,1,43,12/13/2023
S,212,0,127,12/13/2023
R,116,3,31,12/13/2023
R,101,0,20,12/13/2023
R,151,4,76,12/13/2023
R,146,3,59,11/08/2023
R,197,3,63,11/08/2023
R,182,0,28,11/08/2023
R,135,3,51,11/08/2023
S,216,0,54,11/08/2023
R,186,1,46,11/08/2023
R,117,50,59,03/01/2024
R,121,44,62,03/01/2024
R,196,21,96,03/01/2024
R,127,2,79,03/01/2024
R,119,3,64,03/01/2024
S,207,0,98,03/01/2024
U,205,0,69,03/01/2024
R,138,46,38,04/03/2024
R,162,0,97,04/03/2024
R,189,5,62,04/03/2024
R,143,23,50,04/03/2024
R,124,57,39,04/03/2024
S,217,0,60,04/03/2024
R,147,109,72,05/04/2024
S,206,0,36,05/04/2024
R,122,41,40,05/04/2024
R,155,0,49,05/04/2024
R,142,0,64,05/04/2024
R,172,38,39,05/04/2024
R,149,113,37,06/04/2024
S,208,0,81,06/04/2024
R,137,11,113,06/04/2024
R,154,72,42,06/04/2024
R,156,23,14,06/04/2024
R,109,41,29,06/04/2024
R,157,79,65,07/02/2024
R,194,1,42,07/02/2024
S,210,0,54,07/02/2024
R,179,31,35,07/02/2024
R,106,69,55,07/02/2024
R,141,56,49,07/02/2024
R,161,112,56,08/01/2024
R,191,0,38,08/01/2024
R,107,90,79,08/01/2024
R,139,66,28,08/01/2024
R,102,68,120,08/01/2024
R,114,0,57,08/29/2024
R,110,91,81,08/29/2024
R,169,38,127,08/29/2024
R,166,43,69,08/29/2024
R,136,118,55,08/29/2024
