project,project_long,inoculation,inoculation_long,number,total_id
DFC,DougFirColonization,R,Rhizopogon,101,DFCR101
DFC,DougFirColonization,R,Rhizopogon,102,DFCR102
DFC,DougFirColonization,R,Rhizopogon,103,DFCR103
DFC,DougFirColonization,R,Rhizopogon,104,DFCR104
DFC,DougFirColonization,R,Rhizopogon,105,DFCR105
DFC,DougFirColonization,R,Rhizopogon,106,DFCR106
DFC,DougFirColonization,R,Rhizopogon,107,DFCR107
DFC,DougFirColonization,R,Rhizopogon,108,DFCR108
DFC,DougFirColonization,R,Rhizopogon,109,DFCR109
DFC,DougFirColonization,R,Rhizopogon,110,DFCR110
DFC,DougFirColonization,R,Rhizopogon,111,DFCR111
DFC,DougFirColonization,R,Rhizopogon,112,DFCR112
DFC,DougFirColonization,R,Rhizopogon,113,DFCR113
DFC,DougFirColonization,R,Rhizopogon,114,DFCR114
DFC,DougFirColonization,R,Rhizopogon,115,DFCR115
DFC,DougFirColonization,R,Rhizopogon,116,DFCR116
DFC,DougFirColonization,R,Rhizopogon,117,DFCR117
DFC,DougFirColonization,R,Rhizopogon,118,DFCR118
DFC,DougFirColonization,R,Rhizopogon,119,DFCR119
DFC,DougFirColonization,R,Rhizopogon,120,DFCR120
DFC,DougFirColonization,R,Rhizopogon,121,DFCR121
DFC,DougFirColonization,R,Rhizopogon,122,DFCR122
DFC,DougFirColonization,R,Rhizopogon,123,DFCR123
DFC,DougFirColonization,R,Rhizopogon,124,DFCR124
DFC,DougFirColonization,R,Rhizopogon,125,DFCR125
DFC,DougFirColonization,R,Rhizopogon,126,DFCR126
DFC,DougFirColonization,R,Rhizopogon,127,DFCR127
DFC,DougFirColonization,R,Rhizopogon,128,DFCR128
DFC,DougFirColonization,R,Rhizopogon,129,DFCR129
DFC,DougFirColonization,R,Rhizopogon,130,DFCR130
DFC,DougFirColonization,R,Rhizopogon,131,DFCR131
DFC,DougFirColonization,R,Rhizopogon,132,DFCR132
DFC,DougFirColonization,R,Rhizopogon,133,DFCR133
DFC,DougFirColonization,R,Rhizopogon,134,DFCR134
DFC,DougFirColonization,R,Rhizopogon,135,DFCR135
DFC,DougFirColonization,R,Rhizopogon,136,DFCR136
DFC,DougFirColonization,R,Rhizopogon,137,DFCR137
DFC,DougFirColonization,R,Rhizopogon,138,DFCR138
